2024/10/26 10:12:26 [user_ai95rj0zkse7edg] GET /login  | Status: 200 | Latency: 1.182ms | IP: 127.0.0.1
2024/10/26 10:12:26 [user_ai95rj0zkse7edg] GET /favicon.ico  | Status: 404 | Latency: 0s | IP: 127.0.0.1
2024/10/26 10:12:29 [user_ai95rj0zkse7edg] POST /login  | Status: 303 | Latency: 242.2098ms | IP: 127.0.0.1
2024/10/26 10:12:29 [user_ai95rj0zkse7edg] GET /dashboard  | Status: 200 | Latency: 13.9763ms | IP: 127.0.0.1
2024/10/26 10:12:36 [user_ai95rj0zkse7edg] POST /login  | Status: 303 | Latency: 236.5133ms | IP: 127.0.0.1
2024/10/26 10:12:36 [user_wm8lv09g77yevs7] GET /dashboard  | Status: 200 | Latency: 2.8534ms | IP: 127.0.0.1
2024/10/26 10:12:40 [user_wm8lv09g77yevs7] GET /upload  | Status: 200 | Latency: 507.7µs | IP: 127.0.0.1
2024/10/26 10:12:44 [user_wm8lv09g77yevs7] GET /  | Status: 200 | Latency: 711.1µs | IP: 127.0.0.1
2024/10/26 10:12:46 [user_wm8lv09g77yevs7] GET /logout  | Status: 303 | Latency: 0s | IP: 127.0.0.1
2024/10/26 10:12:46 [anonymous] GET /  | Status: 200 | Latency: 509µs | IP: 127.0.0.1
2024/10/26 11:00:07 [anonymous] GET /  | Status: 200 | Latency: 1.1036ms | IP: 127.0.0.1
2024/10/26 11:00:07 [anonymous] GET /static/css/style.css  | Status: 200 | Latency: 92.5569ms | IP: 127.0.0.1
2024/10/26 11:00:07 [anonymous] GET /favicon.ico  | Status: 404 | Latency: 0s | IP: 127.0.0.1
2024/10/26 11:00:09 [anonymous] GET /login  | Status: 200 | Latency: 2.4202ms | IP: 127.0.0.1
2024/10/26 11:00:13 [anonymous] POST /login  | Status: 500 | Latency: 15.0097ms | IP: 127.0.0.1
2024/10/26 11:00:15 [anonymous] GET /login  | Status: 200 | Latency: 2.2601ms | IP: 127.0.0.1
2024/10/26 11:00:19 [anonymous] POST /login  | Status: 500 | Latency: 7.3795ms | IP: 127.0.0.1
2024/10/26 11:00:22 [anonymous] GET /login  | Status: 200 | Latency: 3.7462ms | IP: 127.0.0.1
2024/10/26 11:01:02 [anonymous] POST /login  | Status: 303 | Latency: 242.1231ms | IP: 127.0.0.1
2024/10/26 11:01:02 [user_ai95rj0zkse7edg] GET /dashboard  | Status: 200 | Latency: 8.9573ms | IP: 127.0.0.1
2024/10/26 11:01:08 [user_ai95rj0zkse7edg] POST /login  | Status: 303 | Latency: 222.3346ms | IP: 127.0.0.1
2024/10/26 11:01:08 [user_wm8lv09g77yevs7] GET /dashboard  | Status: 200 | Latency: 3.4894ms | IP: 127.0.0.1
2024/10/26 11:01:21 [user_wm8lv09g77yevs7] GET /download/skdo714eaejaunt  | Status: 302 | Latency: 5.8292ms | IP: 127.0.0.1
2024/10/26 11:01:25 [user_wm8lv09g77yevs7] GET /preview/skdo714eaejaunt  | Status: 302 | Latency: 1.6497ms | IP: 127.0.0.1
2024/10/26 11:01:27 [user_wm8lv09g77yevs7] GET /download/lvgtojddif78pe7  | Status: 302 | Latency: 0s | IP: 127.0.0.1
2024/10/26 11:01:30 [user_wm8lv09g77yevs7] GET /preview/lvgtojddif78pe7  | Status: 302 | Latency: 2.0932ms | IP: 127.0.0.1
2024/10/26 11:03:00 [user_wm8lv09g77yevs7] GET /dashboard  | Status: 200 | Latency: 5.2613ms | IP: 127.0.0.1
2024/10/26 11:03:01 [user_wm8lv09g77yevs7] GET /preview/skdo714eaejaunt  | Status: 302 | Latency: 2.6341ms | IP: 127.0.0.1
2024/10/26 11:03:04 [user_wm8lv09g77yevs7] GET /download/skdo714eaejaunt  | Status: 302 | Latency: 15.9746ms | IP: 127.0.0.1
